"Sample","NPOC_Field","NPOC_INC","Ratio_field_inc","Site"
"S19S_0020-D",5.49,30.84,5.61748633879781,"S19S_0020"
"S19S_0076-U",10.34,50.08,4.84332688588008,"S19S_0076"
"S19S_0007-D",69.56,15.08,4.61273209549072,"S19S_0007"
"S19S_0064-D",25.59,5.55,4.61081081081081,"S19S_0064"
"S19S_0055-D",27.68,6.05,4.57520661157025,"S19S_0055"
"S19S_0011-D",21.3,4.67,4.5610278372591,"S19S_0011"
"S19S_0080-D",3.96,16.02,4.04545454545455,"S19S_0080"
"S19S_0066-D",4.19,16.41,3.91646778042959,"S19S_0066"
"S19S_0024-D",45.55,13.12,3.4717987804878,"S19S_0024"
"S19S_0024-U",51.83,17.09,3.0327677004096,"S19S_0024"
"S19S_0059-U",41.07,13.95,2.94408602150538,"S19S_0059"
"S19S_0082-D",17.91,51.73,2.88833054159687,"S19S_0082"
"S19S_0087-D",30.17,10.91,2.7653528872594,"S19S_0087"
"S19S_0010-M",20.73,7.58,2.73482849604222,"S19S_0010"
"S19S_0037-M",41.86,15.42,2.71465629053178,"S19S_0037"
"S19S_0047-D",26.9,10.06,2.67395626242545,"S19S_0047"
"S19S_0087-U",25.61,9.68,2.64566115702479,"S19S_0087"
"S19S_0008-U",95.44,37.33,2.5566568443611,"S19S_0008"
"S19S_0047-U",37.71,14.89,2.53257219610477,"S19S_0047"
"S19S_0085-U",31.34,12.57,2.49323786793954,"S19S_0085"
"S19S_0047-M",70.18,28.76,2.44019471488178,"S19S_0047"
"S19S_0015-D",26.63,11.21,2.37555753791258,"S19S_0015"
"S19S_0008-M",30.38,12.96,2.34413580246914,"S19S_0008"
"S19S_0063-D",14.32,6.4,2.2375,"S19S_0063"
"S19S_0087-M",25.82,11.55,2.23549783549784,"S19S_0087"
"S19S_0079-U",15.33,34.07,2.22243966079583,"S19S_0079"
"S19S_0026-D",33.13,15.01,2.20719520319787,"S19S_0026"
"S19S_0067-U",46.59,22.1,2.10814479638009,"S19S_0067"
"S19S_0031-D",6.34,13.11,2.06782334384858,"S19S_0031"
"S19S_0025-M",8.99,18.55,2.06340378197998,"S19S_0025"
"S19S_0051-M",30.18,14.87,2.02958977807666,"S19S_0051"
"S19S_0083-D",9.6,4.78,2.00836820083682,"S19S_0083"
"S19S_0034-M",23.8,12.09,1.96856906534326,"S19S_0034"
"S19S_0076-D",12.18,23.34,1.91625615763547,"S19S_0076"
"S19S_0083-U",23.29,12.25,1.90122448979592,"S19S_0083"
"S19S_0051-D",31.52,16.72,1.88516746411483,"S19S_0051"
"S19S_0040-M",18.92,10.04,1.88446215139442,"S19S_0040"
"S19S_0074-M",21.2,11.37,1.86455584872471,"S19S_0074"
"S19S_0077-D",16.38,8.83,1.85503963759909,"S19S_0077"
"S19S_0077-U",4.88,8.93,1.82991803278689,"S19S_0077"
"S19S_0050-M",28.03,15.41,1.81894873458793,"S19S_0050"
"S19S_0059-D",37.02,20.46,1.80938416422287,"S19S_0059"
"S19S_0038-D",17,9.44,1.80084745762712,"S19S_0038"
"S19S_0054-U",14.2,8.07,1.75960346964064,"S19S_0054"
"S19S_0050-D",12.52,7.15,1.75104895104895,"S19S_0050"
"S19S_0071-U",31.58,18.19,1.73611874656405,"S19S_0071"
"S19S_0019-D",9.92,5.73,1.73123909249564,"S19S_0019"
"S19S_0061-U",44.52,26.48,1.68126888217523,"S19S_0061"
"S19S_0054-M",13.72,8.24,1.66504854368932,"S19S_0054"
"S19S_0067-D",24.32,14.72,1.65217391304348,"S19S_0067"
"S19S_0006-U",9.24,5.62,1.644128113879,"S19S_0006"
"S19S_0054-D",11.45,6.99,1.63805436337625,"S19S_0054"
"S19S_0063-U",3.43,5.55,1.61807580174927,"S19S_0063"
"S19S_0037-U",21.11,13.09,1.61268143621085,"S19S_0037"
"S19S_0074-D",20.7,12.84,1.61214953271028,"S19S_0074"
"S19S_0012-D",11.5,18.5,1.60869565217391,"S19S_0012"
"S19S_0073-D",24.75,15.53,1.59368963296845,"S19S_0073"
"S19S_0090-D",16.07,10.2,1.57549019607843,"S19S_0090"
"S19S_0041-M",18.17,11.6,1.56637931034483,"S19S_0041"
"S19S_0100-D",12.65,19.75,1.56126482213439,"S19S_0100"
"S19S_0040-U",24.52,15.74,1.55781448538755,"S19S_0040"
"S19S_0023-U",26.33,16.99,1.54973513831666,"S19S_0023"
"S19S_0039-D",16.43,10.65,1.54272300469484,"S19S_0039"
"S19S_0082-U",22.25,14.44,1.54085872576177,"S19S_0082"
"S19S_0071-D",21.59,14.11,1.53012048192771,"S19S_0071"
"S19S_0062-D",5.45,8.31,1.52477064220183,"S19S_0062"
"S19S_0010-D",10.82,7.1,1.52394366197183,"S19S_0010"
"S19S_0023-D",25.55,16.78,1.52264600715137,"S19S_0023"
"S19S_0085-D",17.21,11.4,1.50964912280702,"S19S_0085"
