Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0006_Sed_Field_ICR-D_p2,4207,2660,810,45,676,217,133,201,379,93,106,160,80,416,307,108,1074,170,345
S19S_0006_Sed_Field_ICR-M_p2,3594,2202,662,28,664,135,94,164,277,63,115,85,39,321,155,91,968,155,388
S19S_0006_Sed_Field_ICR-U_p2,4253,2689,853,27,801,166,146,178,339,76,103,89,17,407,211,46,1240,205,474
S19S_0008_Sed_Field_ICR-D_p15,2561,1178,248,33,390,77,29,53,294,21,33,69,30,147,97,48,391,98,298
S19S_0008_Sed_Field_ICR-M_p15,2712,1431,373,37,499,63,60,95,241,33,30,69,22,161,148,28,557,115,331
S19S_0009_Sed_Field_ICR-M_p2,4803,2726,741,46,842,153,132,233,302,99,178,146,48,374,191,53,1183,239,492
S19S_0009_Sed_Field_ICR-U_p2,4618,2721,785,35,782,162,177,225,288,105,162,102,41,361,171,68,1235,223,520
S19S_0010_Sed_Field_ICR-D_p15,3987,2516,646,57,844,141,122,193,288,75,150,94,17,302,240,66,1010,228,559
S19S_0010_Sed_Field_ICR-M_p15,2944,1600,332,60,542,106,56,93,313,32,66,86,28,168,132,61,586,131,408
S19S_0010_Sed_Field_ICR-U_p15,3343,1958,587,46,600,125,109,108,235,35,113,82,28,214,129,43,889,124,449
S19S_0011_Sed_Field_ICR-D_p2,3194,1744,582,20,462,178,126,100,206,25,45,66,20,228,62,26,912,101,329
S19S_0011_Sed_Field_ICR-M_p2,3423,1796,571,29,540,153,93,112,211,34,53,72,24,225,92,21,854,92,416
S19S_0011_Sed_Field_ICR-U_p2,4406,2761,856,43,744,258,203,169,320,56,112,80,26,412,148,60,1361,164,510
S19S_0012_Sed_Field_ICR-D_p2,4548,2795,734,48,788,269,241,210,265,75,165,113,38,350,140,50,1407,219,478
S19S_0012_Sed_Field_ICR-M_p2,3956,2431,664,45,583,357,288,141,216,50,87,82,61,289,110,47,1340,124,378
S19S_0012_Sed_Field_ICR-U_p2,4206,2553,641,36,718,276,235,190,275,78,104,105,51,325,115,79,1267,202,409
S19S_0013_Sed_Field_ICR-D_p2,4154,2488,888,29,625,212,195,141,224,80,94,65,42,456,115,31,1164,97,518
S19S_0013_Sed_Field_ICR-M_p2,4045,2381,741,41,691,164,126,148,269,108,93,65,32,397,190,44,927,147,579
S19S_0013_Sed_Field_ICR-U_p2,4071,2420,751,35,679,202,149,158,249,107,90,86,38,422,171,44,971,158,530
S19S_0014_Sed_Field_ICR-D_p2,3898,2384,726,37,714,166,127,159,279,74,102,91,24,449,120,36,1014,170,480
S19S_0014_Sed_Field_ICR-M_p2,3995,2510,811,27,721,191,139,173,243,90,115,76,22,487,115,30,1108,172,500
S19S_0014_Sed_Field_ICR-U_p2,3972,2653,892,29,676,269,199,171,260,91,66,72,25,504,182,35,1280,99,456
S19S_0015_Sed_Field_ICR-D_p2,2864,1443,369,29,450,103,79,103,222,25,63,71,23,197,81,22,672,90,287
S19S_0015_Sed_Field_ICR-M_p2,3619,2093,494,39,729,100,80,182,269,62,138,94,23,357,149,42,748,250,430
S19S_0015_Sed_Field_ICR-U_p2,4131,2532,679,33,761,218,159,195,274,66,147,101,23,404,125,36,1158,229,456
S19S_0016_Sed_Field_ICR-D_p2,4361,2541,624,47,842,123,84,234,318,101,168,159,50,387,146,80,1013,232,474
S19S_0016_Sed_Field_ICR-M_p2,4186,2314,614,49,666,168,129,184,285,126,93,94,40,368,109,34,1024,170,475
S19S_0016_Sed_Field_ICR-U_p1,2380,1271,266,27,509,60,25,144,164,46,30,43,18,177,41,35,574,78,305
S19S_0017_Sed_Field_ICR-D_p2,3943,2333,750,26,678,143,155,191,212,78,100,53,23,378,89,36,1181,142,431
S19S_0017_Sed_Field_ICR-M_p2,3986,2400,725,33,735,148,157,203,231,77,91,83,30,362,101,45,1192,159,428
S19S_0017_Sed_Field_ICR-U_p2,3717,2384,713,28,683,188,160,190,254,77,91,95,43,362,137,70,1125,174,378
S19S_0018_Sed_Field_ICR-D_p2,3694,2171,480,51,717,123,109,188,281,82,140,119,42,367,150,61,813,215,404
S19S_0018_Sed_Field_ICR-M_p2,3980,2043,445,45,703,125,82,163,265,55,160,124,36,306,116,48,768,221,424
S19S_0018_Sed_Field_ICR-U_p2,3471,1843,455,50,613,100,46,121,326,34,98,102,25,247,185,43,703,139,399
S19S_0019_Sed_Field_ICR-D_p2,3880,2393,502,45,838,137,113,192,321,67,178,107,34,417,150,35,919,272,459
S19S_0019_Sed_Field_ICR-M_p2,3897,2441,585,36,804,206,133,181,271,61,164,103,23,393,155,40,1060,213,454
S19S_0019_Sed_Field_ICR-U_p2,4064,2622,653,37,869,159,137,213,297,90,167,122,34,474,177,46,1075,242,452
S19S_0020_Sed_Field_ICR-D_p2,4251,2634,884,21,683,266,226,180,202,79,93,65,34,267,135,29,1464,123,517
S19S_0020_Sed_Field_ICR-M_p2,4144,2655,936,31,626,283,240,177,211,76,75,84,30,376,195,60,1340,107,463
S19S_0020_Sed_Field_ICR-U_p2,4069,2495,726,31,629,169,159,190,347,102,142,162,70,327,171,149,1028,184,404
S19S_0021_Sed_Field_ICR-D_p2,4280,2593,793,40,713,168,162,224,239,156,98,62,24,360,221,41,1095,158,632
S19S_0021_Sed_Field_ICR-M_p2,3773,2335,724,26,630,198,173,147,308,55,74,66,27,345,147,38,1177,130,405
S19S_0021_Sed_Field_ICR-U_p2,3983,2541,797,32,672,236,230,163,260,54,97,67,28,403,129,34,1286,161,433
S19S_0022_Sed_Field_ICR-D_p2,4265,2827,855,32,756,326,234,188,232,80,124,102,43,349,137,46,1491,173,486
S19S_0022_Sed_Field_ICR-M_p2,4210,2852,888,32,752,353,254,146,217,57,153,116,45,354,128,52,1525,162,470
S19S_0022_Sed_Field_ICR-U_p2,4189,2705,871,35,697,299,237,198,171,85,112,93,34,300,129,36,1457,139,517
S19S_0023_Sed_Field_ICR-D_p2,3783,2096,480,33,705,150,45,138,391,58,96,112,26,314,187,67,776,182,432
S19S_0023_Sed_Field_ICR-M_p2,3920,2381,685,40,723,144,89,177,317,73,133,123,29,333,177,53,1016,161,489
S19S_0023_Sed_Field_ICR-U_p2,3747,1868,467,45,585,107,44,116,339,43,122,109,35,271,123,43,705,161,421
S19S_0024_Sed_Field_ICR-D_p15,3114,1682,373,44,509,116,33,83,408,47,69,99,18,208,185,55,590,110,417
S19S_0024_Sed_Field_ICR-M_p2,3750,1967,436,39,657,146,46,131,358,60,94,113,28,367,150,53,658,201,397
S19S_0025_Sed_Field_ICR-D_p2,3977,2226,622,39,720,150,54,134,343,46,118,94,30,312,169,64,889,163,505
S19S_0025_Sed_Field_ICR-M_p1,4381,2666,694,42,894,154,127,199,317,89,150,101,44,415,214,47,1128,219,498
S19S_0025_Sed_Field_ICR-U_p2,4030,2164,527,46,691,143,75,155,352,61,114,112,35,302,133,66,861,216,439
S19S_0026_Sed_Field_ICR-M_p2,3977,2435,670,38,692,286,192,155,239,43,120,76,21,294,107,36,1293,160,448
S19S_0026_Sed_Field_ICR-U_p2,3763,2304,640,41,649,232,185,140,253,41,123,81,22,285,123,42,1166,187,398
S19S_0027_Sed_Field_ICR-D_p2,4463,2602,641,55,807,157,138,217,315,88,184,135,46,384,168,58,1049,268,494
