Page,date,S19S_ID,SED_INC_LOCATION,Sample_ID,Mass_Vial_sediment_Nocap_g,Mass_Vial_sediment_Nocap_rawwater_g,Sed_mass_g,Water_mass_g,Notes,weight vial+sediments+cap(g)
1,8/6/2019,74,M,S19S_0074_SED_INC-M,51.18,80.1,25.772,28.92,,
1,8/6/2019,74,U,S19S_0074_SED_INC-U,49.09,79.22,23.682,30.13,,
1,8/6/2019,56,M,S19S_0056_SED_INC-M,46.86,77.89,21.452,31.03,,
1,8/6/2019,26,U,S19S_0026_SED_INC-U,48.08,78.54,22.672,30.46,,
1,8/6/2019,26,D,S19S_0026_SED_INC-D,50.31,78.4,24.902,28.09,,
1,8/6/2019,40,M,S19S_0040_SED_INC-M,43.3,72.57,17.892,29.27,,
1,8/6/2019,11,U,S19S_0011_SED_INC-U,48.45,76.36,23.042,27.91,,
1,8/6/2019,11,M,S19S_0011_SED_INC-M,48.72,76.01,23.312,27.29,,
1,8/6/2019,43,M,S19S_0043_SED_INC-M,43.73,72.83,18.322,29.1,,
1,8/6/2019,43,D,S19S_0043_SED_INC-D,45.24,73.28,19.832,28.04,,
1,8/6/2019,29,D,S19S_0029_SED_INC-D,45.77,75.45,20.362,29.68,,
1,8/6/2019,22,D,S19S_0022_SED_INC-D,49.07,79.7,23.662,30.63,,
1,8/6/2019,15,U,S19S_0015_SED_INC-U,48.29,77.84,22.882,29.55,,
2,8/7/2019,55,M,S19S_0055_SED_INC-M,42.55,74.13,17.142,31.58,,
2,8/7/2019,25,M,S19S_0025_SED_INC-M,49.47,80.29,24.062,30.82,,
2,8/7/2019,25,D,S19S_0025_SED_INC-D,45.19,76.87,19.782,31.68,,
2,8/7/2019,28,M,S19S_0028_SED_INC-M,45.5,76.68,20.092,31.18,,
2,8/7/2019,44,U,S19S_0044_SED_INC-U,40.59,70.74,15.182,30.15,We had to transfer to another vial to mix. Lost some sediments 27.08.,
2,8/7/2019,44,M,S19S_0044_SED_INC-M,43.95,71.85,18.542,27.9,We had to transfer to another vial to mix. Lost some sediments 27.08.,
2,8/7/2019,23,D,S19S_0023_SED_INC-D,50.75,80.34,25.342,29.59,,
2,8/7/2019,18,U,S19S_0018_SED_INC-U,43.57,74.66,18.162,31.09,,
2,8/7/2019,18,M,S19S_0018_SED_INC-M,42.7,75.76,17.292,33.06,we transferred the content to another vial leftover weight 26.52,
2,8/7/2019,39,D,S19S_0039_SED_INC-D,44.44,75.18,19.032,30.74,,
2,8/7/2019,41,U,S19S_0041_SED_INC-U,47.01,78.07,21.602,31.06,,
2,8/7/2019,41,M,S19S_0041_SED_INC-M,44.58,75.91,19.172,31.33,,
2,8/7/2019,54,U,S19S_0054_SED_INC-U,39.22,69.51,13.812,30.29,,
2,8/7/2019,34,U,S19S_0034_SED_INC-U,45.65,77,20.242,31.35,,
2,8/7/2019,34,D,S19S_0034_SED_INC-D,43.02,73.54,17.612,30.52,,
2,8/7/2019,76,M,S19S_0076_SED_INC-M,47.21,77.06,21.802,29.85,,
2,8/7/2019,76,U,S19S_0076_SED_INC-U,44.71,75.97,19.302,31.26,,
2,8/7/2019,75,D,S19S_0075_SED_INC-D,46.79,76.76,21.382,29.97,,
2,8/8/2019,42,U,S19S_0042_SED_INC-U,37.73,68.34,12.322,30.61,,
2,8/14/2019,16,M,S19S_0016_SED_INC-M,46.49,76.18,21.082,29.69,,
2,8/14/2019,59,U,S19S_0059_SED_INC-U,41.26,69.98,15.852,28.72,Liquid nitrogen entered tube,
2,8/14/2019,59,M,S19S_0059_SED_INC-M,39.67,68.18,14.262,28.51,,
2,8/14/2019,33,U,S19S_0033_SED_INC-U,43.18,75.19,17.772,32.01,,
2,8/14/2019,27,U,S19S_0027_SED_INC-U,46.27,77.33,20.862,31.06,,
2,8/14/2019,27,D,S19S_0027_SED_INC-D,48.2,78.77,22.792,30.57,,
2,8/14/2019,63,D,S19S_0063_SED_INC-D,44.52,77.66,19.112,33.14,,
2,8/14/2019,64,U,S19S_0064_SED_INC-U,44.26,76.26,18.852,32,,
2,8/14/2019,64,D,S19S_0064_SED_INC-D,40.11,72.4,14.702,32.29,,
3,8/14/2019,35,M,S19S_0035_SED_INC-M,46.87,77.47,21.462,30.6,,
3,8/14/2019,67,U,S19S_0067_SED_INC-U,44.13,74.37,18.722,30.24,,
3,8/14/2019,67,D,S19S_0067_SED_INC-D,38.05,68.32,12.642,30.27,,
3,8/14/2019,38,M,S19S_0038_SED_INC-M,44.99,77.02,19.582,32.03,,
3,8/14/2019,38,U,S19S_0038_SED_INC-U,42.06,74.74,16.652,32.68,,
3,8/14/2019,12,M,S19S_0012_SED_INC-M,48.38,78.89,22.972,30.51,,
3,8/14/2019,37,D,S19S_0037_SED_INC-D,45.77,77.41,20.362,31.64,,
3,8/14/2019,61,U,S19S_0061_SED_INC-U,48.83,74.41,23.422,25.58,,
3,8/14/2019,61,D,S19S_0061_SED_INC-D,40.23,69.83,14.822,29.6,,
3,8/14/2019,70,U,S19S_0070_SED_INC-U,45.62,77.52,20.212,31.9,,
3,8/14/2019,69,U,S19S_0069_SED_INC-U,42.49,75.16,17.082,32.67,KCL  was put into liquid nitrogen then removed immediately,
3,8/14/2019,69,M,S19S_0069_SED_INC-M,40.33,74.53,14.922,34.2,,
3,8/14/2019,71,D,S19S_0071_SED_INC-D,35.72,69.44,10.312,33.72,,
3,8/14/2019,72,U,S19S_0072_SED_INC-U,46.31,78.51,20.902,32.2,,
3,8/14/2019,72,M,S19S_0072_SED_INC-M,42.72,75.92,17.312,33.2,,
3,8/14/2019,73,D,S19S_0073_SED_INC-D,36.26,68.62,10.852,32.36,,
3,8/14/2019,68,U,S19S_0068_SED_INC-U,42.71,74.56,17.302,31.85,,
3,8/15/2019,30,U,S19S_0030_SED_INC-U,43.76,75.17,18.352,31.41,stopped when sensor dot fell off,
3,8/15/2019,62,M,S19S_0062_SED_INC-M,40.4,74.62,14.992,34.22,,
4,8/16/2019,51,D,S19S_0051_SED_INC-D,42.64,76.07,17.232,33.43,,
4,8/16/2019,51,M,S19S_0051_SED_INC-M,47.3,76.2,21.892,28.9,,
4,8/16/2019,50,M,S19S_0050_SED_INC-M,44.13,76.66,18.722,32.53,,
4,8/16/2019,47,D,S19S_0047_SED_INC-D,40.94,71.44,15.532,30.5,,
4,8/16/2019,47,U,S19S_0047_SED_INC-U,44.39,73.27,18.982,28.88,,
4,8/20/2019,97,U,S19S_0097_SED_INC-U,45.14,76.11,19.732,30.97,,
4,8/20/2019,24,U,S19S_0024_SED_INC-U,42.95,74.52,17.542,31.57,,
4,8/20/2019,24,M,S19S_0024_SED_INC-M,46.01,76.78,20.602,30.77,,
4,8/20/2019,90,M,S19S_0090_SED_INC-M,45.26,77.1,19.852,31.84,,
4,8/20/2019,77,U,S19S_0077_SED_INC-U,49.98,81.04,24.572,31.06,,
4,8/20/2019,77,M,S19S_0077_SED_INC-M,45.85,77.62,20.442,31.77,,
4,8/20/2019,66,D,S19S_0066_SED_INC-D,45.95,78.61,20.542,32.66,,
5,8/21/2019,86,M,S19S_0086_SED_INC-M,42.13,75.14,16.722,33.01,,
5,8/21/2019,86,D,S19S_0086_SED_INC-D,43.8,76.02,18.392,32.22,,
5,8/21/2019,83,U,S19S_0083_SED_INC-U,41.14,72.04,15.732,30.9,,
5,8/21/2019,80,D,S19S_0080_SED_INC-D,44.83,76.26,19.422,31.43,,
5,8/21/2019,80,M,S19S_0080_SED_INC-M,44.73,76.38,19.322,31.65,,
5,8/21/2019,84,D,S19S_0084_SED_INC-D,44.3,76.72,18.892,32.42,,
5,8/21/2019,82,D,S19S_0082_SED_INC-D,38.16,68.53,12.752,30.37,,
5,8/21/2019,82,M,S19S_0082_SED_INC-M,30.34,68.71,4.932,38.37,,
5,8/21/2019,98,U,S19S_0098_SED_INC-U,46.62,78.11,21.212,31.49,,
5,8/21/2019,87,D,S19S_0087_SED_INC-D,45.41,75.01,20.002,29.6,,
5,8/21/2019,87,M,S19S_0087_SED_INC-M,36.65,69.59,11.242,32.94,,
5,8/21/2019,21,U,S19S_0021_SED_INC-U,43.64,75.78,18.232,32.14,,
5,8/21/2019,14,D,S19S_0014_SED_INC-D,42.39,71.46,16.982,29.07,,
5,8/21/2019,14,M,S19S_0014_SED_INC-M,40.65,72.57,15.242,31.92,,
5,8/21/2019,99,D,S19S_0099_SED_INC-D,47.27,79.11,21.862,31.84,,
5,8/21/2019,81,U,S19S_0081_SED_INC-U,48.13,78.04,22.722,29.91,,
5,8/21/2019,60,U,S19S_0060_SED_INC-U,44.5,77.08,19.092,32.58,,
5,8/21/2019,85,U,S19S_0085_SED_INC-U,47.62,78.43,22.212,30.81,,
5,8/21/2019,85,D,S19S_0085_SED_INC-D,42.94,76.91,17.532,33.97,,
5,8/21/2019,98,D,S19S_0098_SED_INC-D,43.64,76.05,18.232,32.41,,
5,8/21/2019,20,M,S19S_0020_SED_INC-M,43.15,76.03,17.742,32.88,,
5,8/21/2019,19,D,S19S_0019_SED_INC-D,45.4,77.57,19.992,32.17,,
5,8/21/2019,19,M,S19S_0019_SED_INC-M,43.48,75.01,18.072,31.53,,
5,8/21/2019,13,D,S19S_0013_SED_INC-D,41.64,70.09,16.232,28.45,,
5,8/21/2019,31,U,S19S_0031_SED_INC-U,41.95,75,16.542,33.05,,
